symbol,quantity,cost,early_purchase_date,current_price,current_equity,profit,equity_ratio
DLR,10.0,1067.772,2018-12-21 19:29,102.410000,1024.1,-43.672000000000025,18.005520684986898
QQQ,25.0,3628.299,2017-08-10 14:15,143.500000,3587.5,-40.79899999999998,63.07470506531637
VNQ,15.0,1131.8999999999999,2018-12-21 19:30,71.740000,1076.1,-55.799999999999955,18.91977424969671
